Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
LM044,Applied Languages,429,,442,,404,473
LM050,Business Studies (options),451,,431,,419,455
LM056,International Business,555,,528,,511,543
LM058,Financial Mathematics,468,,403,,434,543
LM063,Technology Management,410,,379,,372,409
LM066,Environmental Science,430,,,,,
LM068,Food Science and Health,464,,421,,400,430
LM076,Product Design and Technology (portfolio required),401,,408,,402,466
LM077,Aeronautical Engineering,567,,520,,469,531
LM082,Construction Management and Engineering,446,,398,,368,404
LM089,Sport and Exercise Sciences,498,,474,,441,466
LM090,Physical Education with concurrent Teacher Educati,552,544,532,,498,520
LM091,Languages with concurrent Teacher Education,506,,517,,,
LM092,Science with Teacher Ed (Biology with Physics/Chem,521,,507,,478,509
LM093,Equine Science,367,,339,,338,381
LM094,Materials and Architectural Technology with concur,475,,440,,405,433
LM095,Materials and Engineering Technology with concurre,425,,367,,358,409
LM096,Science with Teacher Ed (Physical Sciences with Ch,454,,405,,382,422
LM097,Mathematics and Computer Science with concurrent T,465,,402,,,
LM099,Architecture,520,,498,,419,473
LM100,Physiotherapy,613,,589,,565,577
LM101,Medicine  - Graduate Entry (GAMSAT required),57,,55,,55,57
LM102,Psychology,534,,509,,495,519
LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429,,392,,313,403
LM105,Exercise and Health Fitness Management,441,,,,,
LM115,Chemical and Biochemical Engineering,476,,454,,456,520
LM116,Engineering (Biomedical/Civil/Design and Manufactu,498,,476,,434,498
LM118,Electronic and Computer Engineering,445,,403,,401,498
LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,,351,,352,420
LM122,Creative Media and Interaction Design (Digital Des,382,,327,,330,430
LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498,,441,,412,455
LM124,Mathematics (Math Science/Maths and Physics/Econom,455,,437,,427,521
LM125,Physics (Applied Physics or Mathematics and Physic,489,,404,,405,509
LM150,General Nursing,498,487,475,,440,463
LM152,Mental Health Nursing,478,466,419,,388,418
LM154,Intellectual Disability Nursing,462,443,420,,381,408
LM156,Midwifery,521,508,469,,429,444
MU001,Theology and Arts,294,294,290,290,290,318
MU002,Theology,,,440,,292,377
MH001,Education - Primary Teaching (Froebel),564,,507,,496,520
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,,441,
MH003,Early Childhood - Teaching and Learning (full-time,381,,,,,
MH101,Arts,338,336,318,,316,369
MH103,Music,,,,,,367
MH106,Psychology - 3 years,554,,521,,495,499
MH107,Social Science,390,,346,,326,349
MH109,Media Studies,324,,316,,317,377
MH116,Community and Youth Work (Full-Time),,,,,,271
MH201,Science,401,400,360,,350,392
MH202,Biotechnology,490,489,455,,429,446
MH203,Biological and Geographical Sciences,451,,430,,,
MH204,Physics with Astrophysics,422,,422,,420,488
MH206,Theoretical Physics and Mathematics,521,,510,,498,566
MH207,Data Science,444,,445,,434,466
MH208,Biological and Biomedical Sciences,543,,498,,451,476
MH209,Psychology (through Science) - 4 years,529,,498,,473,485
